#	X	Y
-5	24.6
-4.9	23
-4.8	25
-4.5	22
-4.4	19
-4.3	20
-4.2	20
-4.1	16.5
-4	16.1
-3.9	13
-3.8	10
-3.7	15.2
-3.6	14
-3.5	12
-3.4	14
-3.3	12
-3.2	13
-3.1	7
-3	8.4
-2.9	8.4
-2.8	7
-2.7	10
-2.6	6.5
-2.5	7
-2.4	5.7
-2.3	4
-2.2	5
-2.1	6
-2	4.1
-1.9	4
-1.8	2.7
-1.7	3
-1.6	2
-1.5	2.6
-1.4	1.8
-1.3	2.7
-1.2	1.6
-1.1	0
-1	1
-0.9	1
-0.8	0.5
-0.7	0.6
-0.6	0.2
-0.5	0.3
-0.4	0
-0.3	1.5
-0.2	0
-0.1	0.3
0	0.1
0.1	0.3
0.2	0
0.3	1.5
0.4	0
0.5	0.3
0.6	0.2
0.7	0.6
0.8	0.5
0.9	1
1	1.2
1.1	0
1.2	1.6
1.3	2.7
1.4	1.8
1.5	2.6
1.6	2
1.7	3
1.8	2.7
1.9	4
2	3.9
2.1	6
2.2	5
2.3	4
2.4	5.7
2.5	7
2.6	6.5
2.7	10
2.8	7
2.9	8.4
3	9.1
3.1	7
3.2	13
3.3	12
3.4	14
3.5	12
3.6	14
3.7	15.2
3.8	10
3.9	13
4	17.4
4.1	16.5
4.2	20
4.3	20
4.4	19
4.5	22
4.8	25
4.9	23
5	25
